table_name,column_name,data_type,is_nullable,column_default
attendance,attendance_id,integer,NO,nextval('attendance_attendance_id_seq'::regclass)
attendance,enrollment_id,integer,YES,null
attendance,status,character varying,YES,null
attendance,date,date,YES,CURRENT_DATE
batch,batch_id,integer,NO,nextval('batch_batch_id_seq'::regclass)
batch,batch_name,character varying,NO,null
enrollment,enrollment_id,integer,NO,nextval('enrollment_enrollment_id_seq'::regclass)
enrollment,student_id,integer,YES,null
enrollment,program_id,integer,YES,null
enrollment,enrollment_date,date,YES,CURRENT_DATE
enrollment,roll_no,integer,YES,null
exam,exam_id,integer,NO,nextval('exam_exam_id_seq'::regclass)
exam,program_id,integer,YES,null
exam,exam_name,character varying,NO,null
exam,exam_date,date,YES,null
exam,exam_type,character varying,YES,null
exam,subject,character varying,YES,null
exam,total_marks,numeric,NO,null
payment,payment_id,integer,NO,nextval('payment_payment_id_seq'::regclass)
payment,enrollment_id,integer,YES,null
payment,paid_amount,numeric,YES,0
payment,payment_date,date,YES,CURRENT_DATE
payment,payment_method,character varying,NO,null
payment,remarks,character varying,YES,null
payment,month,integer,NO,null
payment,year,integer,NO,null
payment,transaction_group_id,uuid,YES,uuid_generate_v4()
program,program_id,integer,NO,nextval('program_program_id_seq'::regclass)
program,program_name,character varying,NO,null
program,batch_id,integer,YES,null
program,monthly_fee,numeric,YES,0
program,start_date,date,YES,null
program,end_date,date,YES,null
program_schedule,program_id,integer,NO,null
program_schedule,window_id,integer,NO,null
roles,role_id,integer,NO,nextval('roles_role_id_seq'::regclass)
roles,role_name,character varying,NO,null
room,room_id,integer,NO,nextval('room_room_id_seq'::regclass)
room,room_name,character varying,NO,null
room,capacity,integer,YES,null
schedule_window,window_id,integer,NO,nextval('schedule_window_window_id_seq'::regclass)
schedule_window,room_id,integer,NO,null
schedule_window,day_of_week,character varying,NO,null
schedule_window,start_time,time without time zone,NO,null
schedule_window,end_time,time without time zone,NO,null
student,student_id,integer,NO,nextval('student_student_id_seq'::regclass)
student,name,character varying,NO,null
student,fathers_name,character varying,YES,null
student,school,character varying,YES,null
student,contact,character varying,YES,null
student,class,integer,YES,null
student,user_id,integer,YES,null
student,created_at,timestamp with time zone,YES,CURRENT_TIMESTAMP
student,updated_at,timestamp with time zone,YES,CURRENT_TIMESTAMP
student,batch_id,bigint,YES,null
student_individual_result,result_id,integer,NO,nextval('student_individual_result_result_id_seq'::regclass)
student_individual_result,enrollment_id,integer,YES,null
student_individual_result,exam_id,integer,YES,null
student_individual_result,written_marks,numeric,YES,0
student_individual_result,mcq_marks,numeric,YES,0
student_individual_result,total_score,numeric,YES,null
teacher,teacher_id,integer,NO,nextval('teacher_teacher_id_seq'::regclass)
teacher,full_name,character varying,NO,null
teacher,contact,character varying,YES,null
teacher,user_id,integer,YES,null
teacher_program_enrollment,teacher_id,integer,NO,null
teacher_program_enrollment,program_id,integer,NO,null
teacher_program_enrollment,field,character varying,YES,null
users,user_id,integer,NO,nextval('users_user_id_seq'::regclass)
users,user_name,character varying,NO,null
users,email,character varying,NO,null
users,password_hash,character varying,NO,null
users,role_id,integer,YES,null
users,auth_id,uuid,YES,null
users,status,character varying,YES,'approved'::character varying
